Question,Answer
"What is the capital of Japan?","Tokyo"
"What is the highest mountain in the world?","Mount Everest"
"What is the largest planet in our solar system?","Jupiter"
"What is the largest country in the world?","Russia"
"What is the most populated country in the world?","China"
"What is the smallest country in the world?","Vatican City"
"What is the longest river in the world?","Nile River"
"What is the deepest ocean in the world?","Pacific Ocean"
"What is the hottest continent in the world?","Africa"
"What is the coldest continent in the world?","Antarctica"
